Date,Open,High,Low,Close,Adj Close,Volume
2000-09-01,93.4800033569336,93.4800033569336,93.4749984741211,93.4749984741211,93.4749984741211,466
2000-09-05,93.4749984741211,93.4749984741211,93.4749984741211,93.4749984741211,93.4749984741211,100
2000-09-06,60.70899963378906,60.70899963378906,60.70899963378906,93.4749984741211,93.4749984741211,205
2000-09-07,93.4749984741211,93.4749984741211,93.4749984741211,93.4749984741211,93.4749984741211,205
2000-09-08,93.46499633789062,93.4749984741211,93.46499633789062,93.4749984741211,93.4749984741211,205
2000-09-11,93.46499633789062,93.4749984741211,93.46499633789062,93.4749984741211,93.4749984741211,205
2000-09-12,93.46499633789062,93.4749984741211,93.46499633789062,93.4749984741211,93.4749984741211,205
2000-09-13,93.46499633789062,93.4749984741211,93.46499633789062,93.4749984741211,93.4749984741211,205
2000-09-14,93.46499633789062,93.4749984741211,93.46499633789062,93.4749984741211,93.4749984741211,205
2000-09-15,93.46499633789062,93.4749984741211,93.46499633789062,93.4749984741211,93.4749984741211,205
2000-09-18,93.46499633789062,93.4749984741211,93.46499633789062,93.4749984741211,93.4749984741211,100
2000-09-19,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,100
2000-09-20,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,100
2000-09-21,93.4800033569336,93.4800033569336,93.4800033569336,93.48500061035156,93.48500061035156,100
2000-09-22,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,100
2000-09-25,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,100
2000-09-26,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,100
2000-09-27,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,100
2000-09-28,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,100
2000-09-29,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,93.4800033569336,100
2000-10-02,93.51000213623047,93.51000213623047,93.51000213623047,93.50499725341797,93.50499725341797,104
